laboratorios Laproff -  -  - Antioquia
GFB PRO 300 (CN018022)
Historial de eventos

'Rango : 'Por tiempo:' (02-01-2022 10:01:59 ... 05-18-2022 11:01:59)
'Filtro :   usuarios = 'Todos los usuarios'  Eventos = 'Todos los eventos'

Marca de tiempo,Evento
03-15-2022 15:51:55,'valor cambió  (Operación 4) - Punto Establecido Desde 50 % a 25 % - por jm (thats me)
03-15-2022 15:51:55,'valor cambió  (Operación 4) - Punto Establecido Desde 50 % a 20 % - por jm (thats me)
03-15-2022 15:51:58,'receta iniciada en operación 4 (Descarga)
03-15-2022 15:51:58,'el cambio manual de una operación a la operación 4 (Descarga)
03-15-2022 15:52:09,'valor cambió  (Operación 4) - Punto Establecido Desde 0 a 1 - por jm (thats me)
03-15-2022 15:53:01,'valor cambió  (Operación 4) - Punto Establecido Desde 25 % a 50 % - por jm (thats me)
03-15-2022 15:53:40,'valor cambió  (Operación 4) - Punto Establecido Desde 50 % a 75 % - por jm (thats me)
03-15-2022 15:54:49,'valor cambió  (Operación 4) - Punto Establecido Desde 75 % a 100 % - por jm (thats me)
03-15-2022 15:55:54,'valor cambió  (Operación 1) - Punto Establecido Desde 75 % a 25 % - por jm (thats me)
03-15-2022 15:55:54,'valor cambió  (Operación 1) - Punto Establecido Desde 30 % a 25 % - por jm (thats me)
03-15-2022 15:55:57,'el cambio manual de una operación a la operación 1 (Carga)
03-15-2022 15:56:07,'valor cambió  (Operación 1) - Punto Establecido Desde 0 a 1 - por jm (thats me)
03-15-2022 15:57:31,'valor cambió  (Operación 1) - Punto Establecido Desde 25 % a 30 % - por jm (thats me)
03-15-2022 15:58:46,'receta detenida en operación 1 (Carga)
03-15-2022 15:58:51,'valor cambió Sellos contenedor de producto - Mando Desde Inflar a Desinflar - por jm (thats me)
03-15-2022 15:59:16,'Cerrar proceso
03-15-2022 16:00:38,'valor cambió Presión de aire atomizador (P301510) - Min. Límite Min.Alarma Desde 1.0 bar a 0.1 bar - por jm (thats me)
03-15-2022 16:00:46,'valor cambió Presión de purga de aire atomizador (P301510) - Punto Establecido Desde 2.0 bar a 0.5 bar - por jm (thats me)
