laboratorios Laproff -  -  - Antioquia
GFB PRO 300 (CN018022)
Historial de eventos

'Rango : 'Por tiempo:' (01-29-2025 05:48:48 ... 02-05-2025 06:48:48)
'Filtro :   usuarios = 'Todos los usuarios'  Eventos = 'Todos los eventos'

Marca de tiempo,Evento
01-29-2025 20:24:09,'valor cambió Válvula de lavado del pleno (V401930) - Modo de servicio Desde Cerrado a Abrir - por linaro (Lina Rios Otalvaro)
01-29-2025 20:24:28,'valor cambió Válvula de lavado del pleno (V401930) - Modo de servicio Desde Abrir a Cerrado - por linaro (Lina Rios Otalvaro)
01-29-2025 20:25:02,'valor cambió Válvula de lavado del pleno (V401930) - Modo de servicio Desde Cerrado a Abrir - por linaro (Lina Rios Otalvaro)
01-29-2025 20:25:23,'valor cambió Válvula de lavado del pleno (V401930) - Modo de servicio Desde Abrir a Cerrado - por linaro (Lina Rios Otalvaro)
01-29-2025 22:32:55,'valor cambió Modo de espera - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 22:34:30,'valor cambió Modo de espera - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 22:34:42,'valor cambió Sello de filtro de producto (X203530) - Mando Desde Desinflar a Inflar - por linaro (Lina Rios Otalvaro)
01-29-2025 22:36:22,'valor cambió Modo de espera - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 22:37:05,'valor cambió Modo de espera - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 22:37:55,'valor cambió Modo de servicio - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 22:38:18,'valor cambió Modo de espera - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 22:38:56,'valor cambió Modo de espera - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 22:46:00,'valor cambió Válvula de drenaje de la torre - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 22:46:08,'valor cambió Válvula de drenaje de la torre - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 22:46:12,'valor cambió Válvula de drenaje de la torre - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
